Division|Desc. Division|Depto|Desc.Depto|Linea|Desc.Linea|SubLinea|Desc. SubLinea|Nro Evento|Desc Evento|Fecha Inicio|Fecha Termino|SubPrioridad|Sku Estilo|Desc Sku Estilo|Sku Variacion|Desc Sku Variacion|Cod Marca|Marca|Precio|Nivel Cambio|Sucursal|Desc Suc|Semana Ant.|Stock|Precio Master|Notas
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36931823       |TDB KTB FLOR COR S18 TURQUESA S   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-247|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36931824       |TDB KTB FLOR COR S18 TURQUESA M   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-346|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36931825       |TDB KTB FLOR COR S18 TURQUESA L   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-443|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36931826       |TDB KTB FLOR COR S18 TURQUESA XL   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-371|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36931827       |TDB KTB FLOR COR S18 TURQUESA XXL   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-241|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36967758       |TDB KTB FLOR COR S18 ROJO L  |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-205|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36967759       |TDB KTB FLOR COR S18 ROJO M  |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|49|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36967760       |TDB KTB FLOR COR S18 ROJO S|2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|3|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36967761       |TDB KTB FLOR COR S18 ROJO XL  |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-26|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931822       |TDB KTB FLOR COR S18.|36967762       |TDB KTB FLOR COR S18 ROJO XXL  |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|-27|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931785       |TDB KTB BAS COR S18 .|36931793       |TDB KTB BAS COR S18 NEGRO L   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|82|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931785       |TDB KTB BAS COR S18 .|36931794       |TDB KTB BAS COR S18 NEGRO XL   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|28|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931785       |TDB KTB BAS COR S18 .|36931795       |TDB KTB BAS COR S18 NEGRO XXL   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|40|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931785       |TDB KTB BAS COR S18 .|36931796       |TDB KTB BAS COR S18 TURQUESA S   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|11|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931785       |TDB KTB BAS COR S18 .|36931797       |TDB KTB BAS COR S18 TURQUESA M   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|55|12990|
G03            |HOMBRES Y CALZADO|D143           |KENNETH STEVENS|003016         |TRAJES DE BANO|S005058        |TRAJES DE BANO|2567600|D143 BAJA KENNETH STEVENS SUC(25) RJ1|11-07-2019|18-07-2019|MKD Obsolescencia             |36931785       |TDB KTB BAS COR S18 .|36931786       |TDB KTB BAS COR S18 NAVY S   |2134                                    |KENNETH STEVENS|990|Tienda|45|Valparaiso|0|210|12990|
